Date,IIP
2012-04,99.3
2012-05,105.0
2012-06,102.3
2012-07,101.5
2012-08,99.9
2012-09,99.0
2012-10,103.7
2012-11,98.3
2012-12,107.1
2013-01,107.2
2013-02,101.4
2013-03,115.2
2013-04,102.6
2013-05,106.0
2013-06,101.3
2013-07,104.7
2013-08,104.3
2013-09,105.7
2013-10,105.7
2013-11,101.9
2013-12,110.9
2014-01,112.3
2014-02,106.7
2014-03,118.5
2014-04,106.6
2014-05,111.0
2014-06,109.7
2014-07,110.4
2014-08,108.0
2014-09,110.2
2014-10,106.0
2014-11,109.4
2014-12,115.3
2015-01,114.3
2015-02,109.9
2015-03,121.3
2015-04,107.3
2015-05,113.0
2015-06,110.8
2015-07,111.8
2015-08,112.0
2015-09,112.6
2015-10,115.5
2015-11,110.3
2015-12,118.9
2016-01,118.9
2016-02,117.8
2016-03,127.6
2016-04,113.7
2016-05,121.3
2016-06,119.7
2016-07,116.8
2016-08,116.5
2016-09,118.2
2016-10,120.3
2016-11,115.9
2016-12,121.7
2017-01,123.1
2017-02,119.2
2017-03,133.2
2017-04,117.3
2017-05,124.8
2017-06,119.3
2017-07,118.0
2017-08,122.1
2017-09,123.1
2017-10,122.5
2017-11,125.8
2017-12,130.6
2018-01,132.3
2018-02,127.4
2018-03,140.3
2018-04,122.6
2018-05,129.6
2018-06,127.7
2018-07,125.7
2018-08,128.0
2018-09,128.8
2018-10,132.8
2018-11,126.1
2018-12,133.9
2019-01,134.4
2019-02,127.6
2019-03,144.1
2019-04,126.5
2019-05,135.4
2019-06,129.3
2019-07,131.8
2019-08,126.2
2019-09,122.9
2019-10,124.0
2019-11,128.8
2019-12,134.5
2020-01,137.4
2020-02,134.2
2020-03,117.2
2020-04,54.0
2020-05,90.2
2020-06,107.9
2020-07,117.9
2020-08,117.2
2020-09,124.1
2020-10,129.6
2020-11,126.7
2020-12,137.4
2021-01,136.6
2021-02,129.9
2021-03,145.6
2021-04,126.1
2021-05,115.1
2021-06,122.8
2021-07,131.5
2021-08,132.4
2021-09,129.5
2021-10,135.0
2021-11,128.0
2021-12,138.8
2022-01,139.3
2022-02,131.4
2022-03,148.8
2022-04,134.5
2022-05,137.8
2022-06,138.3
2022-07,134.4
2022-08,131.5
2022-09,133.8
2022-10,129.5
2022-11,137.7
2022-12,145.9
2023-01,147.4
2023-02,139.3
2023-03,151.7
2023-04,140.7
2023-05,145.6
2023-06,143.9
2023-07,142.7
2023-08,145.8
2023-09,142.3
2023-10,144.9
2023-11,141.1
2023-12,152.3
2024-01,153.6
2024-02,147.1
2024-03,160.0
2024-04,148.0
2024-05,154.7
2024-06,151.0
2024-07,149.8
2024-08,145.8
2024-09,146.9
2024-10,150.3
2024-11,148.1
2024-12,157.7
2025-01,161.3
